 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, rowcost
Db major blues (5b), 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 5:0:0:0:4, 5:0:0:0:4, 4:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 8:0:0:0:3, 5:0:0:0:4, 3:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 4:0:0:0:3, 3:0:1:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 3:0:1:0:1, 2:0:0:0:1, 6:1:0:0:4, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:2, 5:0:0:0:3, 4:0:0:0:4, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 165:1:4:0:108
B major blues (5#), 1:0:0:0:0, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:0, 4:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 5:0:1:0:0, 5:0:0:0:1, 2:0:0:0:0, 6:0:1:0:0, 5:1:0:0:2, 4:0:0:0:1, 0:0:0:0:0, 3:0:1:1:2, 3:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 4:0:0:0:1, 5:0:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 6:0:1:0:2, 6:0:0:0:1, 7:0:0:1:2, 1:0:0:0:0, 3:0:1:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:1:2, 4:0:0:0:1, 3:0:0:0:1, 3:0:0:0:0, 206:3:13:3:39
Bb minor blues (5b), 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 5:0:0:0:4, 5:0:0:0:4, 4:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 8:0:0:0:3, 5:0:0:0:4, 3:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 4:0:0:0:3, 3:0:1:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 3:0:1:0:1, 2:0:0:0:1, 6:1:0:0:4, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:2, 5:0:0:0:3, 4:0:0:0:4, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 165:1:4:0:108
G# minor blues (5#), 1:0:0:0:0, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:0, 4:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 5:0:1:0:0, 5:0:0:0:1, 2:0:0:0:0, 6:0:1:0:0, 5:1:0:0:2, 4:0:0:0:1, 0:0:0:0:0, 3:0:1:1:2, 3:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 4:0:0:0:1, 5:0:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 6:0:1:0:2, 6:0:0:0:1, 7:0:0:1:2, 1:0:0:0:0, 3:0:1:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:1:2, 4:0:0:0:1, 3:0:0:0:1, 3:0:0:0:0, 206:3:13:3:39
Db dorian (5b), 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 5:0:0:0:4, 5:0:0:0:4, 4:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 8:0:0:0:3, 5:0:0:0:4, 3:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 4:0:0:0:3, 3:0:1:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 3:0:1:0:1, 2:0:0:0:1, 6:1:0:0:4, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:2, 5:0:0:0:3, 4:0:0:0:4, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 165:1:4:0:108
B dorian (5#), 1:0:0:0:0, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:0, 4:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 5:0:1:0:0, 5:0:0:0:1, 2:0:0:0:0, 6:0:1:0:0, 5:1:0:0:2, 4:0:0:0:1, 0:0:0:0:0, 3:0:1:1:2, 3:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 4:0:0:0:1, 5:0:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 6:0:1:0:2, 6:0:0:0:1, 7:0:0:1:2, 1:0:0:0:0, 3:0:1:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:1:2, 4:0:0:0:1, 3:0:0:0:1, 3:0:0:0:0, 206:3:13:3:39
Db phrygian (5b), 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 5:0:0:0:4, 5:0:0:0:4, 4:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 8:0:0:0:3, 5:0:0:0:4, 3:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 4:0:0:0:3, 3:0:1:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 3:0:1:0:1, 2:0:0:0:1, 6:1:0:0:4, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:2, 5:0:0:0:3, 4:0:0:0:4, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 165:1:4:0:108
B phrygian (5#), 1:0:0:0:0, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:0, 4:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 5:0:1:0:0, 5:0:0:0:1, 2:0:0:0:0, 6:0:1:0:0, 5:1:0:0:2, 4:0:0:0:1, 0:0:0:0:0, 3:0:1:1:2, 3:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 4:0:0:0:1, 5:0:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 6:0:1:0:2, 6:0:0:0:1, 7:0:0:1:2, 1:0:0:0:0, 3:0:1:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:1:2, 4:0:0:0:1, 3:0:0:0:1, 3:0:0:0:0, 206:3:13:3:39
Db lydian (5b), 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 5:0:0:0:4, 5:0:0:0:4, 4:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 8:0:0:0:3, 5:0:0:0:4, 3:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 4:0:0:0:3, 3:0:1:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 3:0:1:0:1, 2:0:0:0:1, 6:1:0:0:4, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:2, 5:0:0:0:3, 4:0:0:0:4, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 165:1:4:0:108
B lydian (5#), 1:0:0:0:0, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:0, 4:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 5:0:1:0:0, 5:0:0:0:1, 2:0:0:0:0, 6:0:1:0:0, 5:1:0:0:2, 4:0:0:0:1, 0:0:0:0:0, 3:0:1:1:2, 3:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 4:0:0:0:1, 5:0:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 6:0:1:0:2, 6:0:0:0:1, 7:0:0:1:2, 1:0:0:0:0, 3:0:1:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:1:2, 4:0:0:0:1, 3:0:0:0:1, 3:0:0:0:0, 206:3:13:3:39
Db mixolydian (5b), 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 5:0:0:0:4, 5:0:0:0:4, 4:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 8:0:0:0:3, 5:0:0:0:4, 3:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 4:0:0:0:3, 3:0:1:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 3:0:1:0:1, 2:0:0:0:1, 6:1:0:0:4, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:2, 5:0:0:0:3, 4:0:0:0:4, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 165:1:4:0:108
B mixolydian (5#), 1:0:0:0:0, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:0, 4:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 5:0:1:0:0, 5:0:0:0:1, 2:0:0:0:0, 6:0:1:0:0, 5:1:0:0:2, 4:0:0:0:1, 0:0:0:0:0, 3:0:1:1:2, 3:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 4:0:0:0:1, 5:0:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 6:0:1:0:2, 6:0:0:0:1, 7:0:0:1:2, 1:0:0:0:0, 3:0:1:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:1:2, 4:0:0:0:1, 3:0:0:0:1, 3:0:0:0:0, 206:3:13:3:39
Db aeolian (5b), 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 5:0:0:0:4, 5:0:0:0:4, 4:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 8:0:0:0:3, 5:0:0:0:4, 3:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 4:0:0:0:3, 3:0:1:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 3:0:1:0:1, 2:0:0:0:1, 6:1:0:0:4, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:2, 5:0:0:0:3, 4:0:0:0:4, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 165:1:4:0:108
B aeolian (5#), 1:0:0:0:0, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:0, 4:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 5:0:1:0:0, 5:0:0:0:1, 2:0:0:0:0, 6:0:1:0:0, 5:1:0:0:2, 4:0:0:0:1, 0:0:0:0:0, 3:0:1:1:2, 3:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 4:0:0:0:1, 5:0:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 6:0:1:0:2, 6:0:0:0:1, 7:0:0:1:2, 1:0:0:0:0, 3:0:1:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:1:2, 4:0:0:0:1, 3:0:0:0:1, 3:0:0:0:0, 206:3:13:3:39
Db locrian (5b), 1:0:0:0:0, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 3:0:0:0:1, 2:0:0:0:1, 3:0:1:0:1, 2:0:0:0:2, 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 0:0:0:0:0, 2:0:0:0:2, 5:0:0:0:4, 5:0:0:0:4, 4:0:0:0:1, 3:0:0:0:2, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 8:0:0:0:3, 5:0:0:0:4, 3:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 4:0:0:0:3, 3:0:1:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 3:0:1:0:1, 2:0:0:0:1, 6:1:0:0:4, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:0:0:0:2, 5:0:0:0:3, 4:0:0:0:4, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 165:1:4:0:108
B locrian (5#), 1:0:0:0:0, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:1:0:0:2, 2:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 4:0:0:0:0, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:0:1, 1:0:1:0:0, 2:0:0:0:0, 4:0:0:0:1, 4:0:0:0:1, 5:0:1:0:0, 4:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 5:0:1:0:0, 5:0:0:0:1, 2:0:0:0:0, 6:0:1:0:0, 5:1:0:0:2, 4:0:0:0:1, 0:0:0:0:0, 3:0:1:1:2, 3:0:0:0:1, 3:0:1:0:0, 2:0:0:0:0, 5:0:0:0:1, 4:0:0:0:1, 5:0:0:0:1, 2:0:0:0:0, 3:0:0:0:0, 3:0:1:0:0, 6:0:1:0:2, 6:0:0:0:1, 7:0:0:1:2, 1:0:0:0:0, 3:0:1:0:0, 3:0:0:0:0, 4:0:0:0:1, 4:0:0:1:2, 4:0:0:0:1, 3:0:0:0:1, 3:0:0:0:0, 206:3:13:3:39
Gb major (6b), 1:0:0:0:1, 3:0:0:0:2, 4:0:0:0:2, 3:0:0:0:2, 4:0:1:0:1, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:1:1:0:3, 0:0:0:0:0, 2:1:1:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 3:0:0:0:2, 4:0:1:0:1, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:1:1:0:3, 0:0:0:0:0, 2:1:1:0:2, 5:0:0:0:3, 4:0:0:0:4, 5:0:0:0:2, 3:0:0:0:3, 1:0:0:0:0, 1:0:0:0:0, 3:0:0:0:2, 3:0:0:0:3, 3:0:0:0:3, 2:0:0:0:2, 9:0:0:0:4, 5:1:1:0:5, 3:1:1:0:3, 5:0:0:0:4, 4:0:0:0:2, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:2, 3:0:0:0:3, 4:0:1:0:2, 3:0:0:0:1, 5:0:0:0:4, 1:0:0:0:1, 4:0:1:0:2, 3:0:0:0:1, 7:1:0:0:5, 5:0:0:0:4, 4:0:0:0:3, 1:0:0:0:1, 3:0:0:0:2, 5:0:0:0:4, 4:1:1:0:4, 2:0:0:0:2, 4:1:1:0:4, 2:0:0:0:1, 4:0:0:0:3, 195:9:12:0:137
F# major (6#), 1:0:0:0:0, 3:1:1:0:2, 4:0:0:0:1, 3:0:0:0:1, 4:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 4:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 0:0:0:0:0, 2:0:0:0:1, 2:0:0:0:0, 3:1:1:0:2, 4:0:0:0:1, 3:0:0:0:1, 4:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 4:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 0:0:0:0:0, 2:0:0:0:1, 4:0:0:0:1, 4:0:0:0:0, 4:0:0:0:1, 4:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 3:0:0:0:1, 4:0:0:1:1, 4:1:1:0:1, 2:0:0:0:0, 6:0:0:0:1, 5:1:1:0:2, 3:0:0:0:1, 7:0:0:0:1, 4:1:0:0:2, 3:0:0:0:0, 0:0:0:0:0, 3:0:1:1:1, 3:0:0:0:1, 3:0:0:1:1, 3:0:0:0:0, 5:0:0:0:1, 3:0:0:0:1, 5:0:0:0:1, 2:0:0:0:0, 4:0:0:0:1, 2:0:0:0:1, 5:2:2:0:2, 6:0:0:0:1, 6:0:0:1:2, 1:0:0:0:0, 4:0:0:0:1, 4:0:0:0:0, 4:1:1:0:2, 3:0:0:1:1, 4:0:0:0:1, 2:0:0:0:1, 4:0:0:0:1, 202:8:10:5:54
Eb minor (6b), 1:0:0:0:1, 3:0:0:0:2, 4:0:0:0:2, 3:0:0:0:2, 4:0:1:0:1, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:1:1:0:3, 0:0:0:0:0, 2:1:1:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 3:0:0:0:2, 4:0:1:0:1, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1, 3:1:1:0:3, 0:0:0:0:0, 2:1:1:0:2, 5:0:0:0:3, 4:0:0:0:4, 5:0:0:0:2, 3:0:0:0:3, 1:0:0:0:0, 1:0:0:0:0, 3:0:0:0:2, 3:0:0:0:3, 3:0:0:0:3, 2:0:0:0:2, 9:0:0:0:4, 5:1:1:0:5, 3:1:1:0:3, 5:0:0:0:4, 4:0:0:0:2, 2:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:2, 3:0:0:0:3, 4:0:1:0:2, 3:0:0:0:1, 5:0:0:0:4, 1:0:0:0:1, 4:0:1:0:2, 3:0:0:0:1, 7:1:0:0:5, 5:0:0:0:4, 4:0:0:0:3, 1:0:0:0:1, 3:0:0:0:2, 5:0:0:0:4, 4:1:1:0:4, 2:0:0:0:2, 4:1:1:0:4, 2:0:0:0:1, 4:0:0:0:3, 195:9:12:0:137
