 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, rowcost
D# minor (6#), 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1,  , 3:0:0:1:2, 3:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:0, 2:0:0:0:1, 4:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:1, 4:0:0:1:2, 5:0:0:0:1, 5:0:0:1:2, 1:0:0:0:1, 4:0:0:0:0, 6:0:0:0:1, 6:0:0:1:2, 4:0:1:0:0, 5:1:0:0:2, 3:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 2:0:0:0:1, 6:1:1:0:2, 6:0:0:2:3, 1:0:0:0:0, 7:2:1:0:3, 6:0:0:0:1, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:0:0:1:2, 2:0:0:0:1, 139:5:4:9:51
Eb minor mel (6b), 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 1:0:0:0:0, 3:0:0:0:2, 4:0:0:0:3, 4:0:0:0:3, 1:0:0:0:0, 4:0:0:0:3, 7:0:0:0:4, 7:0:0:0:5, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 6:0:0:0:4, 5:0:0:0:3, 1:0:0:0:1, 6:0:0:0:4, 8:0:0:0:4, 2:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 132:1:1:0:83
D# minor mel (6#), 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1,  , 3:0:0:1:2, 3:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:0, 2:0:0:0:1, 4:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:1, 4:0:0:1:2, 5:0:0:0:1, 5:0:0:1:2, 1:0:0:0:1, 4:0:0:0:0, 6:0:0:0:1, 6:0:0:1:2, 4:0:1:0:0, 5:1:0:0:2, 3:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 2:0:0:0:1, 6:1:1:0:2, 6:0:0:2:3, 1:0:0:0:0, 7:2:1:0:3, 6:0:0:0:1, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:0:0:1:2, 2:0:0:0:1, 139:5:4:9:51
Gb major blues (6b), 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 1:0:0:0:0, 3:0:0:0:2, 4:0:0:0:3, 4:0:0:0:3, 1:0:0:0:0, 4:0:0:0:3, 7:0:0:0:4, 7:0:0:0:5, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 6:0:0:0:4, 5:0:0:0:3, 1:0:0:0:1, 6:0:0:0:4, 8:0:0:0:4, 2:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 132:1:1:0:83
F# major blues (6#), 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1,  , 3:0:0:1:2, 3:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:0, 2:0:0:0:1, 4:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:1, 4:0:0:1:2, 5:0:0:0:1, 5:0:0:1:2, 1:0:0:0:1, 4:0:0:0:0, 6:0:0:0:1, 6:0:0:1:2, 4:0:1:0:0, 5:1:0:0:2, 3:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 2:0:0:0:1, 6:1:1:0:2, 6:0:0:2:3, 1:0:0:0:0, 7:2:1:0:3, 6:0:0:0:1, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:0:0:1:2, 2:0:0:0:1, 139:5:4:9:51
Eb minor blues (6b), 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 1:0:0:0:0, 3:0:0:0:2, 4:0:0:0:3, 4:0:0:0:3, 1:0:0:0:0, 4:0:0:0:3, 7:0:0:0:4, 7:0:0:0:5, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 6:0:0:0:4, 5:0:0:0:3, 1:0:0:0:1, 6:0:0:0:4, 8:0:0:0:4, 2:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 132:1:1:0:83
D# minor blues (6#), 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1,  , 3:0:0:1:2, 3:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:0, 2:0:0:0:1, 4:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:1, 4:0:0:1:2, 5:0:0:0:1, 5:0:0:1:2, 1:0:0:0:1, 4:0:0:0:0, 6:0:0:0:1, 6:0:0:1:2, 4:0:1:0:0, 5:1:0:0:2, 3:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 2:0:0:0:1, 6:1:1:0:2, 6:0:0:2:3, 1:0:0:0:0, 7:2:1:0:3, 6:0:0:0:1, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:0:0:1:2, 2:0:0:0:1, 139:5:4:9:51
Gb dorian (6b), 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 1:0:0:0:0, 3:0:0:0:2, 4:0:0:0:3, 4:0:0:0:3, 1:0:0:0:0, 4:0:0:0:3, 7:0:0:0:4, 7:0:0:0:5, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 6:0:0:0:4, 5:0:0:0:3, 1:0:0:0:1, 6:0:0:0:4, 8:0:0:0:4, 2:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 132:1:1:0:83
F# dorian (6#), 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1,  , 3:0:0:1:2, 3:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:0, 2:0:0:0:1, 4:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:1, 4:0:0:1:2, 5:0:0:0:1, 5:0:0:1:2, 1:0:0:0:1, 4:0:0:0:0, 6:0:0:0:1, 6:0:0:1:2, 4:0:1:0:0, 5:1:0:0:2, 3:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 2:0:0:0:1, 6:1:1:0:2, 6:0:0:2:3, 1:0:0:0:0, 7:2:1:0:3, 6:0:0:0:1, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:0:0:1:2, 2:0:0:0:1, 139:5:4:9:51
Gb phrygian (6b), 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 1:0:0:0:0, 3:0:0:0:2, 4:0:0:0:3, 4:0:0:0:3, 1:0:0:0:0, 4:0:0:0:3, 7:0:0:0:4, 7:0:0:0:5, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 6:0:0:0:4, 5:0:0:0:3, 1:0:0:0:1, 6:0:0:0:4, 8:0:0:0:4, 2:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 132:1:1:0:83
F# phrygian (6#), 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1,  , 3:0:0:1:2, 3:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:0, 2:0:0:0:1, 4:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:1, 4:0:0:1:2, 5:0:0:0:1, 5:0:0:1:2, 1:0:0:0:1, 4:0:0:0:0, 6:0:0:0:1, 6:0:0:1:2, 4:0:1:0:0, 5:1:0:0:2, 3:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 2:0:0:0:1, 6:1:1:0:2, 6:0:0:2:3, 1:0:0:0:0, 7:2:1:0:3, 6:0:0:0:1, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:0:0:1:2, 2:0:0:0:1, 139:5:4:9:51
Gb lydian (6b), 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 1:0:0:0:0, 3:0:0:0:2, 4:0:0:0:3, 4:0:0:0:3, 1:0:0:0:0, 4:0:0:0:3, 7:0:0:0:4, 7:0:0:0:5, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 6:0:0:0:4, 5:0:0:0:3, 1:0:0:0:1, 6:0:0:0:4, 8:0:0:0:4, 2:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 132:1:1:0:83
F# lydian (6#), 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1,  , 3:0:0:1:2, 3:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:0, 2:0:0:0:1, 4:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:1, 4:0:0:1:2, 5:0:0:0:1, 5:0:0:1:2, 1:0:0:0:1, 4:0:0:0:0, 6:0:0:0:1, 6:0:0:1:2, 4:0:1:0:0, 5:1:0:0:2, 3:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 2:0:0:0:1, 6:1:1:0:2, 6:0:0:2:3, 1:0:0:0:0, 7:2:1:0:3, 6:0:0:0:1, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:0:0:1:2, 2:0:0:0:1, 139:5:4:9:51
Gb mixolydian (6b), 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 1:0:0:0:0, 3:0:0:0:2, 4:0:0:0:3, 4:0:0:0:3, 1:0:0:0:0, 4:0:0:0:3, 7:0:0:0:4, 7:0:0:0:5, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 6:0:0:0:4, 5:0:0:0:3, 1:0:0:0:1, 6:0:0:0:4, 8:0:0:0:4, 2:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 132:1:1:0:83
F# mixolydian (6#), 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1,  , 3:0:0:1:2, 3:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:0, 2:0:0:0:1, 4:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:1, 4:0:0:1:2, 5:0:0:0:1, 5:0:0:1:2, 1:0:0:0:1, 4:0:0:0:0, 6:0:0:0:1, 6:0:0:1:2, 4:0:1:0:0, 5:1:0:0:2, 3:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 2:0:0:0:1, 6:1:1:0:2, 6:0:0:2:3, 1:0:0:0:0, 7:2:1:0:3, 6:0:0:0:1, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:0:0:1:2, 2:0:0:0:1, 139:5:4:9:51
Gb aeolian (6b), 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 1:0:0:0:0, 3:0:0:0:2, 4:0:0:0:3, 4:0:0:0:3, 1:0:0:0:0, 4:0:0:0:3, 7:0:0:0:4, 7:0:0:0:5, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 6:0:0:0:4, 5:0:0:0:3, 1:0:0:0:1, 6:0:0:0:4, 8:0:0:0:4, 2:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 132:1:1:0:83
F# aeolian (6#), 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1,  , 3:0:0:1:2, 3:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:0, 2:0:0:0:1, 4:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:1, 4:0:0:1:2, 5:0:0:0:1, 5:0:0:1:2, 1:0:0:0:1, 4:0:0:0:0, 6:0:0:0:1, 6:0:0:1:2, 4:0:1:0:0, 5:1:0:0:2, 3:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 2:0:0:0:1, 6:1:1:0:2, 6:0:0:2:3, 1:0:0:0:0, 7:2:1:0:3, 6:0:0:0:1, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:0:0:1:2, 2:0:0:0:1, 139:5:4:9:51
Gb locrian (6b), 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:1:1:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1,  , 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 1:0:0:0:0, 3:0:0:0:2, 4:0:0:0:3, 4:0:0:0:3, 1:0:0:0:0, 4:0:0:0:3, 7:0:0:0:4, 7:0:0:0:5, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 2:0:0:0:2, 2:0:0:0:1, 6:0:0:0:4, 5:0:0:0:3, 1:0:0:0:1, 6:0:0:0:4, 8:0:0:0:4, 2:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:0:0:0:2, 2:0:0:0:1, 132:1:1:0:83
F# locrian (6#), 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1,  , 3:0:0:1:2, 3:0:0:0:1, 1:0:0:0:0,  , 2:0:0:0:1, 3:0:0:0:0, 2:0:0:0:1, 4:1:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:1, 4:0:0:1:2, 5:0:0:0:1, 5:0:0:1:2, 1:0:0:0:1, 4:0:0:0:0, 6:0:0:0:1, 6:0:0:1:2, 4:0:1:0:0, 5:1:0:0:2, 3:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 2:0:0:0:1, 6:1:1:0:2, 6:0:0:2:3, 1:0:0:0:0, 7:2:1:0:3, 6:0:0:0:1, 2:0:0:0:0, 3:0:0:0:1, 3:0:0:0:1, 4:0:0:1:2, 2:0:0:0:1, 139:5:4:9:51
Cb major (7b), 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 3:1:1:0:2, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1,  , 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1,  , 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:1:1:0:4, 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 4:1:1:0:4, 4:0:0:0:4, 1:0:0:0:1, 5:0:0:0:3, 7:1:1:0:5, 7:1:1:0:6, 5:0:0:0:4, 5:0:0:0:4, 3:1:1:0:3, 2:0:0:0:1, 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 7:0:0:0:4, 6:0:0:0:4, 2:0:0:0:1, 6:1:1:0:5, 8:1:1:0:5, 3:0:0:0:2, 2:0:0:0:2, 4:0:0:0:3, 5:0:0:0:3, 2:0:0:0:2, 162:8:8:0:118
C# major (7#), 0:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0,  , 2:0:0:1:1, 2:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 3:1:1:0:1, 2:0:0:0:0, 1:0:0:0:0, 3:0:0:1:0, 0:0:0:0:0, 3:0:0:1:2, 4:0:0:0:1, 4:0:0:1:2, 0:0:0:0:0, 4:0:0:0:1, 5:0:0:0:1, 5:0:0:1:2, 3:0:0:0:1, 5:0:0:2:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 4:0:0:1:0, 1:0:0:0:0, 5:1:1:0:2, 6:0:0:2:1, 1:0:0:0:0, 6:2:1:0:3, 6:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:0, 107:4:3:11:34
Ab minor (7b), 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 3:1:1:0:2, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1,  , 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1,  , 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:1:1:0:4, 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 4:1:1:0:4, 4:0:0:0:4, 1:0:0:0:1, 5:0:0:0:3, 7:1:1:0:5, 7:1:1:0:6, 5:0:0:0:4, 5:0:0:0:4, 3:1:1:0:3, 2:0:0:0:1, 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 7:0:0:0:4, 6:0:0:0:4, 2:0:0:0:1, 6:1:1:0:5, 8:1:1:0:5, 3:0:0:0:2, 2:0:0:0:2, 4:0:0:0:3, 5:0:0:0:3, 2:0:0:0:2, 162:8:8:0:118
A# minor (7#), 0:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0,  , 2:0:0:1:1, 2:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 3:1:1:0:1, 2:0:0:0:0, 1:0:0:0:0, 3:0:0:1:0, 0:0:0:0:0, 3:0:0:1:2, 4:0:0:0:1, 4:0:0:1:2, 0:0:0:0:0, 4:0:0:0:1, 5:0:0:0:1, 5:0:0:1:2, 3:0:0:0:1, 5:0:0:2:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 4:0:0:1:0, 1:0:0:0:0, 5:1:1:0:2, 6:0:0:2:1, 1:0:0:0:0, 6:2:1:0:3, 6:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:0, 107:4:3:11:34
Ab minor mel (7b), 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 3:1:1:0:2, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1,  , 3:0:0:0:2, 4:0:0:0:3, 2:0:0:0:1,  , 3:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 4:1:1:0:4, 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 4:0:0:0:3, 4:1:1:0:4, 4:0:0:0:4, 1:0:0:0:1, 5:0:0:0:3, 7:1:1:0:5, 7:1:1:0:6, 5:0:0:0:4, 5:0:0:0:4, 3:1:1:0:3, 2:0:0:0:1, 1:0:0:0:1, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:2, 7:0:0:0:4, 6:0:0:0:4, 2:0:0:0:1, 6:1:1:0:5, 8:1:1:0:5, 3:0:0:0:2, 2:0:0:0:2, 4:0:0:0:3, 5:0:0:0:3, 2:0:0:0:2, 162:8:8:0:118
A# minor mel (7#), 0:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 2:0:0:0:1, 2:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0,  , 2:0:0:1:1, 2:0:0:0:0, 1:0:0:0:0,  , 1:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 3:1:1:0:1, 2:0:0:0:0, 1:0:0:0:0, 3:0:0:1:0, 0:0:0:0:0, 3:0:0:1:2, 4:0:0:0:1, 4:0:0:1:2, 0:0:0:0:0, 4:0:0:0:1, 5:0:0:0:1, 5:0:0:1:2, 3:0:0:0:1, 5:0:0:2:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 4:0:0:1:0, 1:0:0:0:0, 5:1:1:0:2, 6:0:0:2:1, 1:0:0:0:0, 6:2:1:0:3, 6:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:1:1, 1:0:0:0:0, 107:4:3:11:34
