 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
C# minor blues (4#), 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0,  , 5:0:2:0:2, 5:1:0:0:1, 3:0:0:0:0, 4:0:1:0:1, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 2:1:0:0:1, 5:2:0:0:2, 2:0:0:0:0, 4:1:0:0:1, 5:0:1:1:2, 5:1:0:0:1, 5:1:0:0:1, 5:0:0:0:0, 6:0:0:1:1, 4:1:0:0:1, 3:1:0:0:1, 4:0:0:0:0, 4:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 5:0:0:0:0, 5:1:1:0:2, 4:1:0:0:1, 5:1:0:0:1, 3:0:0:0:0, 4:0:0:0:0, 5:0:0:0:0,  , 4:0:1:0:1, 3:0:1:0:1, 5:1:0:0:1, 6:2:0:0:2, 3:0:0:0:0, 229:15:13:2:30
Ab dorian (4b), 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:0:1:0:1, 3:0:0:0:2,  , 4:1:0:0:2, 3:0:0:0:2, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 4:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 3:0:0:0:2, 2:0:1:0:0, 4:0:0:0:1, 3:0:0:0:2, 2:0:1:0:1, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 2:0:0:0:1, 1:0:0:0:0, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 108:2:7:0:41
E dorian (4#), 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0,  , 5:0:2:0:2, 5:1:0:0:1, 3:0:0:0:0, 4:0:1:0:1, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 2:1:0:0:1, 5:2:0:0:2, 2:0:0:0:0, 4:1:0:0:1, 5:0:1:1:2, 5:1:0:0:1, 5:1:0:0:1, 5:0:0:0:0, 6:0:0:1:1, 4:1:0:0:1, 3:1:0:0:1, 4:0:0:0:0, 4:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 5:0:0:0:0, 5:1:1:0:2, 4:1:0:0:1, 5:1:0:0:1, 3:0:0:0:0, 4:0:0:0:0, 5:0:0:0:0,  , 4:0:1:0:1, 3:0:1:0:1, 5:1:0:0:1, 6:2:0:0:2, 3:0:0:0:0, 229:15:13:2:30
Ab phrygian (4b), 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:0:1:0:1, 3:0:0:0:2,  , 4:1:0:0:2, 3:0:0:0:2, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 4:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 3:0:0:0:2, 2:0:1:0:0, 4:0:0:0:1, 3:0:0:0:2, 2:0:1:0:1, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 2:0:0:0:1, 1:0:0:0:0, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 108:2:7:0:41
E phrygian (4#), 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0,  , 5:0:2:0:2, 5:1:0:0:1, 3:0:0:0:0, 4:0:1:0:1, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 2:1:0:0:1, 5:2:0:0:2, 2:0:0:0:0, 4:1:0:0:1, 5:0:1:1:2, 5:1:0:0:1, 5:1:0:0:1, 5:0:0:0:0, 6:0:0:1:1, 4:1:0:0:1, 3:1:0:0:1, 4:0:0:0:0, 4:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 5:0:0:0:0, 5:1:1:0:2, 4:1:0:0:1, 5:1:0:0:1, 3:0:0:0:0, 4:0:0:0:0, 5:0:0:0:0,  , 4:0:1:0:1, 3:0:1:0:1, 5:1:0:0:1, 6:2:0:0:2, 3:0:0:0:0, 229:15:13:2:30
Ab lydian (4b), 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:0:1:0:1, 3:0:0:0:2,  , 4:1:0:0:2, 3:0:0:0:2, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 4:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 3:0:0:0:2, 2:0:1:0:0, 4:0:0:0:1, 3:0:0:0:2, 2:0:1:0:1, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 2:0:0:0:1, 1:0:0:0:0, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 108:2:7:0:41
E lydian (4#), 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0,  , 5:0:2:0:2, 5:1:0:0:1, 3:0:0:0:0, 4:0:1:0:1, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 2:1:0:0:1, 5:2:0:0:2, 2:0:0:0:0, 4:1:0:0:1, 5:0:1:1:2, 5:1:0:0:1, 5:1:0:0:1, 5:0:0:0:0, 6:0:0:1:1, 4:1:0:0:1, 3:1:0:0:1, 4:0:0:0:0, 4:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 5:0:0:0:0, 5:1:1:0:2, 4:1:0:0:1, 5:1:0:0:1, 3:0:0:0:0, 4:0:0:0:0, 5:0:0:0:0,  , 4:0:1:0:1, 3:0:1:0:1, 5:1:0:0:1, 6:2:0:0:2, 3:0:0:0:0, 229:15:13:2:30
Ab mixolydian (4b), 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:0:1:0:1, 3:0:0:0:2,  , 4:1:0:0:2, 3:0:0:0:2, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 4:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 3:0:0:0:2, 2:0:1:0:0, 4:0:0:0:1, 3:0:0:0:2, 2:0:1:0:1, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 2:0:0:0:1, 1:0:0:0:0, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 108:2:7:0:41
E mixolydian (4#), 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0,  , 5:0:2:0:2, 5:1:0:0:1, 3:0:0:0:0, 4:0:1:0:1, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 2:1:0:0:1, 5:2:0:0:2, 2:0:0:0:0, 4:1:0:0:1, 5:0:1:1:2, 5:1:0:0:1, 5:1:0:0:1, 5:0:0:0:0, 6:0:0:1:1, 4:1:0:0:1, 3:1:0:0:1, 4:0:0:0:0, 4:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 5:0:0:0:0, 5:1:1:0:2, 4:1:0:0:1, 5:1:0:0:1, 3:0:0:0:0, 4:0:0:0:0, 5:0:0:0:0,  , 4:0:1:0:1, 3:0:1:0:1, 5:1:0:0:1, 6:2:0:0:2, 3:0:0:0:0, 229:15:13:2:30
Ab aeolian (4b), 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:0:1:0:1, 3:0:0:0:2,  , 4:1:0:0:2, 3:0:0:0:2, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 4:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 3:0:0:0:2, 2:0:1:0:0, 4:0:0:0:1, 3:0:0:0:2, 2:0:1:0:1, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 2:0:0:0:1, 1:0:0:0:0, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 108:2:7:0:41
E aeolian (4#), 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0,  , 5:0:2:0:2, 5:1:0:0:1, 3:0:0:0:0, 4:0:1:0:1, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 2:1:0:0:1, 5:2:0:0:2, 2:0:0:0:0, 4:1:0:0:1, 5:0:1:1:2, 5:1:0:0:1, 5:1:0:0:1, 5:0:0:0:0, 6:0:0:1:1, 4:1:0:0:1, 3:1:0:0:1, 4:0:0:0:0, 4:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 5:0:0:0:0, 5:1:1:0:2, 4:1:0:0:1, 5:1:0:0:1, 3:0:0:0:0, 4:0:0:0:0, 5:0:0:0:0,  , 4:0:1:0:1, 3:0:1:0:1, 5:1:0:0:1, 6:2:0:0:2, 3:0:0:0:0, 229:15:13:2:30
Ab locrian (4b), 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 3:0:1:0:1, 3:0:0:0:2,  , 4:1:0:0:2, 3:0:0:0:2, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 2:0:1:0:0, 1:0:0:0:0, 2:0:0:0:2, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 1:0:0:0:1, 3:1:0:0:2, 1:0:0:0:0, 4:0:0:0:1, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 2:0:1:0:0, 2:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 3:0:0:0:2, 2:0:1:0:0, 4:0:0:0:1, 3:0:0:0:2, 2:0:1:0:1, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0,  , 2:0:0:0:1, 1:0:0:0:0, 3:0:0:0:2, 2:0:0:0:1, 0:0:0:0:0, 108:2:7:0:41
E locrian (4#), 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0,  , 5:0:2:0:2, 5:1:0:0:1, 3:0:0:0:0, 4:0:1:0:1, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 5:0:0:0:0, 3:0:0:0:0, 3:0:1:0:1, 3:0:0:0:0, 2:1:0:0:1, 5:2:0:0:2, 2:0:0:0:0, 4:1:0:0:1, 5:0:1:1:2, 5:1:0:0:1, 5:1:0:0:1, 5:0:0:0:0, 6:0:0:1:1, 4:1:0:0:1, 3:1:0:0:1, 4:0:0:0:0, 4:0:0:0:0, 1:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 3:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 5:0:0:0:0, 5:1:1:0:2, 4:1:0:0:1, 5:1:0:0:1, 3:0:0:0:0, 4:0:0:0:0, 5:0:0:0:0,  , 4:0:1:0:1, 3:0:1:0:1, 5:1:0:0:1, 6:2:0:0:2, 3:0:0:0:0, 229:15:13:2:30
Db major (5b), 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 2:0:1:0:1, 3:0:0:0:3,  , 4:0:0:0:2, 4:0:0:0:3, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 4:1:0:0:3, 2:0:0:0:1, 5:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 3:0:1:0:1, 1:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:1:0:1, 3:0:0:0:2, 4:0:0:0:3, 3:0:1:0:1, 4:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1,  , 3:0:0:0:1, 1:0:0:0:1, 3:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 136:1:7:0:78
B major (5#), 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 2:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 2:0:0:0:1, 1:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1,  , 5:0:2:0:1, 6:0:0:0:1, 2:0:0:0:0, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 2:0:0:0:1, 3:0:0:1:1, 6:0:1:1:2, 3:0:0:0:1, 5:1:0:0:1, 5:0:1:1:1, 6:0:0:0:0, 6:1:0:0:2, 6:0:0:0:1, 5:0:0:1:2, 5:0:0:0:1, 4:0:0:1:2, 3:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 4:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 4:0:0:0:1, 6:1:1:0:3, 4:0:0:0:1, 5:0:0:0:0, 2:0:0:0:1, 4:0:0:0:0, 4:0:0:0:1,  , 4:0:1:0:0, 2:0:1:0:1, 5:0:0:1:2, 6:0:1:1:3, 2:0:0:0:0, 210:3:15:7:47
Bb minor (5b), 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 2:0:1:0:1, 3:0:0:0:3,  , 4:0:0:0:2, 4:0:0:0:3, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 4:1:0:0:3, 2:0:0:0:1, 5:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 3:0:1:0:1, 1:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:1:0:1, 3:0:0:0:2, 4:0:0:0:3, 3:0:1:0:1, 4:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1,  , 3:0:0:0:1, 1:0:0:0:1, 3:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 136:1:7:0:78
G# minor (5#), 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 2:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 2:0:0:0:1, 1:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1,  , 5:0:2:0:1, 6:0:0:0:1, 2:0:0:0:0, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 2:0:0:0:1, 3:0:0:1:1, 6:0:1:1:2, 3:0:0:0:1, 5:1:0:0:1, 5:0:1:1:1, 6:0:0:0:0, 6:1:0:0:2, 6:0:0:0:1, 5:0:0:1:2, 5:0:0:0:1, 4:0:0:1:2, 3:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 4:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 4:0:0:0:1, 6:1:1:0:3, 4:0:0:0:1, 5:0:0:0:0, 2:0:0:0:1, 4:0:0:0:0, 4:0:0:0:1,  , 4:0:1:0:0, 2:0:1:0:1, 5:0:0:1:2, 6:0:1:1:3, 2:0:0:0:0, 210:3:15:7:47
Bb minor mel (5b), 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 1:0:0:0:1, 0:0:0:0:0, 2:0:1:0:1, 3:0:0:0:3,  , 4:0:0:0:2, 4:0:0:0:3, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 2:0:1:0:1, 2:0:0:0:1, 3:0:0:0:2, 2:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 3:0:0:0:2, 1:0:0:0:1, 4:1:0:0:3, 2:0:0:0:1, 5:0:0:0:2, 3:0:0:0:2, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 2:0:0:0:2, 3:0:1:0:1, 1:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:1:0:1, 3:0:0:0:2, 4:0:0:0:3, 3:0:1:0:1, 4:0:0:0:2, 0:0:0:0:0, 2:0:0:0:1, 2:0:0:0:1,  , 3:0:0:0:1, 1:0:0:0:1, 3:0:0:0:3, 3:0:0:0:2, 1:0:0:0:0, 136:1:7:0:78
G# minor mel (5#), 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 2:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 2:0:0:0:1, 1:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1,  , 5:0:2:0:1, 6:0:0:0:1, 2:0:0:0:0, 4:0:1:0:0, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 3:0:0:0:1, 4:0:0:0:1, 2:0:0:0:0, 2:0:1:0:0, 2:0:0:0:1, 3:0:0:1:1, 6:0:1:1:2, 3:0:0:0:1, 5:1:0:0:1, 5:0:1:1:1, 6:0:0:0:0, 6:1:0:0:2, 6:0:0:0:1, 5:0:0:1:2, 5:0:0:0:1, 4:0:0:1:2, 3:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 4:0:0:0:0, 2:0:0:0:0, 3:0:0:0:1, 2:0:0:0:1, 4:0:0:0:1, 6:1:1:0:3, 4:0:0:0:1, 5:0:0:0:0, 2:0:0:0:1, 4:0:0:0:0, 4:0:0:0:1,  , 4:0:1:0:0, 2:0:1:0:1, 5:0:0:1:2, 6:0:1:1:3, 2:0:0:0:0, 210:3:15:7:47
